rank,character
1,的
2,是
3,不
4,我
5,一
6,有
7,大
8,在
9,人
10,了
11,中
12,到
13,资
14,要
15,可
16,以
17,这
18,个
19,你
20,会
21,好
22,为
23,上
24,来
25,就
26,学
27,交
28,也
29,用
30,能
31,如
32,文
33,时
34,没
35,说
36,他
37,看
38,提
39,那
40,问
41,生
42,过
43,下
44,请
45,天
46,们
47,所
48,多
49,麽
50,小
51,想
52,得
53,之
54,还
55,电
56,出
57,工
58,对
59,都
60,机
61,自
62,後
63,子
64,而
65,讯
66,站
67,去
68,心
69,只
70,家
71,知
72,国
73,台
74,很
75,信
76,成
77,章
78,何
79,同
80,道
81,地
82,发
83,法
84,无
85,然
86,但
87,吗
88,当
89,於
90,本
91,现
92,年
93,前
94,真
95,最
96,和
97,新
98,因
99,果
100,定
101,意
102,情
103,点
104,题
105,其
106,事
107,方
108,清
109,科
110,样
111,些
112,吧
113,叁
114,此
115,位
116,理
117,行
118,作
119,经
120,者
121,什
122,谢
123,名
124,日
125,正
126,华
127,话
128,开
129,实
130,再
131,城
132,爱
133,与
134,二
135,动
136,比
137,高
138,面
139,又
140,车
141,力
142,或
143,种
144,像
145,应
146,女
147,教
148,分
149,手
150,打
151,已
152,次
153,长
154,太
155,明
156,己
157,路
158,起
159,相
160,主
161,关
162,凤
163,间
164,呢
165,觉
166,该
167,十
168,外
169,凰
170,友
171,才
172,民
173,系
174,进
175,使
176,她
177,着
178,各
179,少
180,全
181,两
182,回
183,加
184,将
185,感
186,第
187,性
188,球
189,式
190,把
191,被
192,老
193,公
194,龙
195,程
196,论
197,及
198,别
199,给
200,听
201,水
202,重
203,体
204,做
205,校
206,里
207,常
208,东
209,风
210,您
211,湾
212,啦
213,见
214,解
215,等
216,部
217,原
218,月
219,美
220,先
221,管
222,区
223,错
224,音
225,否
226,啊
227,找
228,网
229,乐
230,让
231,通
232,入
233,期
234,选
235,较
236,四
237,场
238,由
239,书
240,它
241,快
242,从
243,欢
244,数
245,表
246,怎
247,至
248,立
249,内
250,合
251,目
252,望
253,认
254,几
255,社
256,告
257,更
258,版
259,度
260,考
261,喜
262,头
263,难
264,光
265,买
266,今
267,身
268,许
269,弟
270,若
271,算
272,记
273,代
274,统
275,处
276,完
277,号
278,接
279,言
280,政
281,玩
282,师
283,字
284,并
285,男
286,计
287,谁
288,山
289,张
290,党
291,每
292,且
293,结
294,改
295,非
296,星
297,连
298,哈
299,建
300,放
301,直
302,转
303,报
304,活
305,设
306,变
307,指
308,气
309,研
310,陈
311,试
312,西
313,五
314,希
315,取
316,神
317,化
318,物
319,王
320,战
321,近
322,世
323,受
324,义
325,反
326,单
327,死
328,任
329,跟
330,便
331,空
332,林
333,士
335,却
336,北
337,队
338,功
339,必
340,声
341,写
342,平
343,影
344,业
345,金
346,档
347,片
348,讨
349,色
350,容
351,央
352,妳
353,向
354,市
355,则
356,员
357,兴
358,利
359,强
360,白
361,价
362,安
363,呵
364,特
365,思
366,叫
367,总
368,办
369,保
370,花
371,议
372,传
373,元
374,求
375,份
376,件
377,持
378,万
379,未
380,究
381,决
382,投
383,哪
384,喔
385,笑
386,猫
387,组
388,独
389,级
390,走
391,支
392,曾
393,标
394,流
395,竹
396,兄
397,阿
398,室
399,卡
400,马
401,共
402,需
403,海
404,口
405,门
406,般
407,线
408,语
409,命
410,观
411,视
412,朋
413,联
414,参
415,格
416,黄
417,钱
418,修
419,失
420,儿
421,住
422,八
423,脑
424,板
425,吃
426,另
427,换
428,即
429,象
430,料
431,录
432,拿
433,专
434,远
435,速
436,基
437,帮
438,形
439,确
440,候
441,装
442,孩
443,备
444,歌
445,界
446,除
447,南
448,器
449,画
450,诉
451,差
452,讲
453,类
454,英
455,案
456,带
457,久
458,乎
459,掉
460,迷
461,量
462,引
463,整
464,似
465,耶
466,奇
467,制
468,边
469,型
470,超
471,识
472,虽
473,怪
474,飞
475,始
476,品
477,运
478,赛
479,费
480,梦
481,故
482,班
483,权
484,破
485,验
486,眼
487,满
488,念
489,造
490,军
491,精
492,务
493,留
494,服
495,六
496,图
497,收
498,舍
499,半
500,读
501,愿
502,李
503,底
504,约
505,雄
506,课
507,答
508,令
509,深
510,票
511,达
512,演
513,早
514,卖
515,棒
516,够
517,黑
518,院
519,假
520,曲
521,火
522,准
523,百
524,谈
525,胜
526,碟
527,术
528,推
529,存
530,治
531,离
532,易
533,往
534,况
535,晚
536,示
537,证
538,段
539,导
540,伤
541,调
542,团
543,七
544,永
545,刚
546,哥
547,甚
548,德
549,杀
550,怕
551,包
552,列
553,概
554,照
555,夜
556,排
557,客
558,绝
559,软
560,商
561,根
562,九
563,切
564,条
565,集
566,千
567,落
568,竟
569,越
570,待
571,忘
572,尽
573,据
574,双
575,供
576,称
577,座
578,值
579,消
580,产
581,红
582,跑
583,嘛
584,园
585,附
586,硬
587,云
588,游
589,展
590,执
591,闻
592,唱
593,育
594,斯
595,某
596,技
597,唉
598,息
599,苦
600,质
601,油
602,救
603,效
604,须
605,介
606,首
607,助
608,职
609,例
610,热
611,毕
612,节
613,害
614,击
615,乱
616,态
617,嗯
618,宝
619,倒
620,注
621,停
622,古
623,输
624,规
625,福
626,亲
627,查
628,复
629,步
630,举
631,鱼
632,断
633,终
634,轻
635,环
636,练
637,印
638,随
639,依
640,趣
641,限
642,响
643,省
644,局
645,续
646,司
647,角
648,简
649,极
650,干
651,篇
652,罗
653,佛
654,克
655,阳
656,武
657,疑
658,送
659,拉
660,习
661,源
662,免
663,志
664,鸟
665,烦
666,足
667,馆
668,仍
669,低
670,广
671,土
672,呀
673,楼
674,坏
675,兵
676,显
677,率
678,圣
679,码
680,众
681,争
682,初
683,误
684,楚
685,责
686,境
687,野
688,预
689,具
690,智
691,压
693,青
694,贵
695,顺
696,负
697,魔
698,适
699,哇
700,测
701,慢
702,怀
703,懂
704,史
705,配
706,呜
707,味
708,亦
709,医
710,迎
711,舞
712,恋
713,细
714,灌
715,甲
716,帝
717,句
718,属
719,灵
720,评
721,骑
722,宜
723,败
724,左
725,追
726,狂
727,敢
728,春
729,狗
730,际
731,遇
732,族
733,群
734,痛
735,右
736,康
737,佳
738,杨
739,木
740,病
741,戏
742,项
743,抓
744,徵
745,善
746,官
747,护
748,博
749,补
750,石
751,尔
752,营
753,历
755,按
756,妹
758,编
759,岁
760,择
761,温
762,守
763,血
764,领
765,寻
766,田
767,养
768,谓
769,居
770,异
771,雨
772,止
773,跳
774,君
775,烂
776,优
777,封
778,拜
779,恶
780,啥
781,浪
782,核
783,聊
784,急
785,状
786,陆
787,激
788,模
789,攻
790,忙
791,良
792,剧
793,牛
794,垒
795,增
796,维
797,静
798,阵
799,抱
800,势
801,严
802,词
803,亚
804,夫
805,签
806,悲
807,密
808,幕
809,毒
810,厂
811,爽
812,缘
813,店
814,吴
815,兰
816,睡
817,致
818,江
819,宿
820,翻
821,香
822,蛮
823,警
824,控
825,赵
826,冷
827,威
828,微
829,坐
830,周
831,宗
832,普
833,登
834,母
835,络
836,午
837,恐
838,套
839,巴
840,杂
841,创
842,旧
843,辑
844,幸
845,剑
846,亮
847,述
848,堂
849,酒
850,丽
851,牌
852,仔
853,脚
854,突
855,搞
856,父
857,俊
858,暴
859,防
860,吉
861,礼
862,素
863,招
864,草
866,房
867,餐
868,虑
869,充
870,府
871,背
872,典
873,仁
874,漫
875,景
876,绍
877,诸
878,琴
879,忆
880,援
881,尤
882,缺
883,扁
884,骂
885,纯
886,惜
887,授
888,皮
889,松
890,委
891,湖
892,诚
893,麻
894,置
895,靠
896,继
897,判
898,益
899,波
900,姐
901,既
902,射
903,欲
904,刻
905,堆
906,释
907,含
908,承
909,退
910,莫
911,刘
912,昨
913,旁
914,纪
915,赶
917,尚
918,艺
919,肉
920,律
921,铁
922,奏
923,树
924,毛
925,罪
926,笔
927,彩
929,归
930,弹
931,虎
932,卫
933,刀
934,皆
935,键
936,售
937,块
938,险
939,荣
940,播
941,施
942,铭
944,汉
945,赏
946,欣
947,升
948,叶
949,萤
950,载
951,嘿
952,弄
953,钟
954,付
955,寄
956,鬼
957,哦
958,灯
959,呆
960,洋
961,嘻
962,布
963,磁
964,荐
965,检
966,派
967,构
968,妈
969,蓝
970,贴
971,猪
972,策
973,纸
974,暗
975,巧
976,努
977,雷
978,架
979,享
980,宣
981,逢
982,均
983,担
984,启
985,济
986,罢
987,呼
988,划
989,伟
990,岛
991,歉
992,郭
993,训
994,穿
995,详
996,沙
997,督
998,梅
999,顾
1000,敌
1001,协
1002,轮
1003,略
1004,慧
1005,幻
1006,脸
1007,短
1008,鹰
1009,冲
1010,朝
1011,忍
1013,河
1014,批
1015,混
1016,窗
1017,乡
1018,蛋
1019,季
1020,散
1021,册
1022,弃
1023,熟
1024,奖
1025,唯
1026,藏
1027,婚
1028,镜
1029,紧
1030,猜
1031,喝
1032,尊
1033,乾
1034,县
1035,伯
1036,偏
1037,偷
1038,秋
1039,层
1040,颗
1041,食
1042,淡
1043,申
1044,冠
1045,衣
1046,仅
1047,帐
1048,赞
1049,购
1050,犯
1051,敬
1052,勇
1053,洲
1054,束
1055,斗
1056,徒
1057,嘉
1058,柔
1059,绩
1060,笨
1061,拥
1062,漂
1063,狮
1064,诗
1065,围
1066,乖
1067,孤
1068,姓
1069,吸
1070,私
1071,避
1072,范
1073,抗
1074,盖
1075,祝
1076,序
1077,晓
1078,富
1079,译
1080,巨
1081,秀
1082,馀
1083,辉
1084,插
1085,察
1086,庆
1087,积
1088,愈
1089,端
1090,移
1091,宫
1092,挥
1093,爆
1094,港
1095,雪
1096,硕
1097,借
1098,帅
1099,丢
1100,括
1101,挂
1102,盘
1103,偶
1104,末
1105,厅
1106,朱
1107,凡
1108,惊
1109,货
1110,灭
1111,醒
1112,虚
1113,瑞
1114,拍
1115,遗
1116,忠
1118,透
1119,烈
1120,银
1121,顶
1122,雅
1123,诺
1124,圆
1125,熊
1126,替
1127,休
1128,材
1129,挑
1130,侠
1131,鸡
1132,累
1133,互
1134,掌
1136,米
1137,伴
1138,辅
1139,降
1140,豪
1141,篮
1142,洗
1143,健
1144,饭
1145,怜
1146,疯
1147,宏
1148,困
1149,址
1150,兮
1151,操
1152,临
1153,骗
1154,咧
1155,药
1156,绿
1157,尼
1158,蔡
1159,玉
1160,辛
1161,辈
1162,敏
1163,减
1164,彼
1165,街
1166,聚
1167,郎
1168,泡
1169,恨
1170,苏
1171,缩
1172,枢
1173,碰
1174,采
1175,默
1176,婆
1177,股
1178,童
1179,符
1180,抽
1181,获
1182,宇
1183,废
1184,赢
1185,肯
1186,砍
1187,钢
1188,欧
1189,届
1190,禁
1191,苍
1192,脱
1193,渐
1194,仙
1195,泪
1196,触
1197,途
1198,财
1199,箱
1200,厌
1201,籍
1202,冰
1203,涛
1204,订
1205,哭
1206,稳
1207,析
1208,杰
1209,坚
1210,桥
1211,懒
1212,贤
1213,丝
1214,露
1215,森
1216,危
1217,占
1218,茶
1219,惯
1220,尘
1222,爸
1223,阶
1224,夏
1225,谊
1226,瓶
1227,哩
1228,惨
1229,械
1230,隐
1231,丰
1232,旅
1233,椰
1234,亡
1235,汽
1236,贝
1237,娘
1238,寒
1239,遭
1240,吹
1241,暑
1242,珍
1243,零
1244,刊
1245,邮
1246,村
1247,乃
1248,予
1249,赖
1250,摇
1251,纳
1252,烟
1253,伦
1254,尾
1255,狼
1256,浮
1257,骨
1258,杯
1259,隔
1260,洪
1261,织
1262,询
1263,振
1264,忽
1265,索
1266,惠
1267,峰
1268,席
1269,喵
1270,胡
1271,租
1272,款
1273,扰
1274,企
1275,刺
1276,芳
1277,鼠
1278,折
1279,频
1280,冒
1281,痴
1282,阴
1283,哲
1284,针
1285,伊
1286,寂
1287,嘴
1288,倚
1289,霸
1290,扬
1291,沉
1292,悔
1293,虫
1294,菜
1295,距
1297,鼓
1298,摩
1299,郑
1300,庄
1301,副
1302,页
1303,烧
1304,弱
1305,暂
1306,剩
1307,豆
1308,探
1309,耐
1310,祖
1311,遍
1312,萧
1313,握
1314,愁
1315,龟
1316,哀
1318,延
1319,库
1320,隆
1321,盟
1322,傻
1323,眉
1324,固
1325,秘
1326,卷
1327,搭
1328,昭
1329,宁
1330,托
1331,辩
1332,覆
1333,吵
1334,耳
1335,閒
1336,拨
1337,沈
1339,胖
1340,丁
1341,妙
1342,残
1343,违
1344,稍
1345,媒
1346,忧
1347,销
1348,恩
1349,颜
1350,船
1351,奈
1352,映
1353,井
1354,拼
1355,屋
1356,乘
1357,京
1358,藉
1359,洞
1360,川
1361,宪
1362,拟
1363,寝
1364,塞
1365,倍
1366,户
1367,摆
1368,桌
1369,域
1370,劳
1371,赚
1372,皇
1373,逃
1374,鸿
1375,横
1376,牙
1377,拖
1378,齐
1379,农
1380,滚
1381,障
1382,搬
1383,奶
1384,乌
1387,戴
1388,谱
1389,酷
1390,棋
1391,吓
1392,摸
1393,额
1394,瓜
1395,役
1396,怨
1397,染
1398,迫
1399,醉
1400,锁
1401,震
1402,床
1403,闹
1404,佩
1405,牠
1406,徐
1407,尺
1409,潮
1410,帽
1411,盛
1412,孙
1413,屁
1414,净
1415,凯
1416,撞
1417,迴
1418,损
1419,伙
1420,牵
1421,厉
1422,惑
1423,羊
1424,冬
1425,桃
1426,舰
1427,眠
1428,伍
1429,溪
1430,飘
1431,泰
1432,宋
1433,圈
1434,竞
1435,闪
1436,纵
1437,崇
1438,滑
1439,乙
1440,俗
1441,浅
1442,莲
1443,紫
1444,沟
1445,旋
1446,摄
1447,聪
1448,毁
1449,庭
1450,麦
1451,描
1452,妨
1453,勒
1454,仪
1455,陪
1456,榜
1458,慕
1459,耀
1460,献
1461,审
1462,蟹
1463,巷
1464,谅
1465,姊
1466,逐
1467,踏
1468,岸
