rank,character
1,的
2,一
3,是
4,了
5,在
6,这
7,个
8,不
9,有
10,到
11,我
12,人
13,上
14,他
15,大
16,地
17,中
18,们
19,那
20,文
21,说
22,来
23,着
24,时
25,出
26,你
27,就
28,看
29,能
30,后
31,三
32,下
33,她
34,子
35,汪
36,和
37,没
38,体
39,都
40,发
41,对
42,过
43,现
44,淼
45,很
46,么
47,可
48,也
49,成
50,但
51,面
52,天
53,叶
54,要
55,为
56,以
57,学
58,洁
59,明
60,自
61,去
62,只
63,太
64,然
65,会
66,行
67,道
68,想
69,得
70,些
71,生
72,星
73,多
74,起
75,它
76,样
77,里
78,小
79,动
80,开
81,于
82,还
83,最
84,球
85,知
86,间
87,前
88,问
89,种
90,什
91,已
92,将
93,两
94,阳
95,长
96,光
97,分
98,界
99,进
100,用
101,次
102,世
103,同
104,从
105,像
106,实
107,向
108,空
109,头
110,其
111,射
112,方
113,好
114,信
115,当
116,年
117,己
118,机
119,事
120,被
121,部
122,力
123,与
124,点
125,意
126,理
127,之
128,几
129,无
130,外
131,经
132,红
133,系
134,电
135,正
136,者
137,而
138,所
139,定
140,十
141,接
142,回
143,家
144,高
145,眼
146,声
147,计
148,心
149,作
150,数
151,感
152,科
153,真
154,如
155,听
156,走
157,相
158,物
159,又
160,史
161,度
162,运
163,量
164,身
165,名
166,变
167,息
168,把
169,话
170,儿
171,使
172,手
173,巨
174,类
175,目
176,基
177,内
178,宇
179,线
180,宙
181,工
182,算
183,果
184,远
185,吗
186,重
187,元
188,白
189,片
190,位
191,完
192,黑
193,形
194,加
195,色
196,日
197,处
198,本
199,边
200,直
201,吧
202,快
203,维
204,主
205,程
206,常
207,更
208,始
209,字
210,入
211,军
212,指
213,存
214,平
215,解
216,质
217,岸
218,速
219,才
220,结
221,反
222,统
223,卫
224,号
225,全
226,第
227,国
228,别
229,件
230,由
231,觉
232,西
233,让
234,比
235,题
236,术
237,政
238,四
239,显
240,首
241,通
242,研
243,水
244,应
245,二
246,情
247,观
248,望
249,杨
250,做
251,刚
252,再
253,切
254,收
255,法
256,究
257,纪
258,思
259,东
260,门
261,关
262,您
263,化
264,打
265,确
266,放
267,测
268,火
269,代
270,波
271,层
272,立
273,倒
274,女
275,短
276,器
277,干
278,条
279,建
280,台
281,因
282,飞
283,乎
284,转
285,表
286,任
287,至
288,给
289,命
290,员
291,神
292,达
293,半
294,强
295,活
296,颗
297,技
298,教
299,每
300,兵
301,张
302,象
303,组
304,展
305,智
306,轻
307,微
308,整
309,并
310,原
311,复
312,老
313,论
314,构
315,似
316,离
317,难
318,清
319,精
320,气
321,带
322,站
323,等
324,近
325,孩
326,监
327,深
328,产
329,落
330,另
331,战
332,背
333,山
334,何
335,令
336,呢
337,海
338,官
339,镜
340,见
341,总
342,口
343,死
344,制
345,性
346,示
347,少
348,夜
349,随
350,状
351,景
352,万
353,连
354,五
355,斯
356,寒
357,雷
358,许
359,士
360,合
361,失
362,找
363,笑
364,拿
365,告
366,步
367,游
368,细
369,受
370,静
371,设
372,乱
373,够
374,突
375,型
376,新
377,刻
378,验
379,规
380,模
381,识
382,单
383,升
384,影
385,亲
386,该
387,答
388,标
389,审
390,志
391,周
392,根
393,照
394,金
395,灭
396,车
397,王
